bitmap_idx,palette_idx,bpp,tilemap_idx,linear,im_width,im_height,OAM_width,OAM_height,alpha,filepath
0,1,4,,yes,256,256,,,yes,common/ui/brown_square
2,3,4,,yes,256,256,,,yes,local/encyclopedia/atta
4,5,4,,,80,32,16,32,yes,local/buttons/animation
6,7,4,,,80,32,16,32,yes,local/buttons/bgm
8,9,4,,,80,32,16,32,yes,local/buttons/details
10,11,4,,,64,32,8,8,yes,local/buttons/unknown
12,13,4,,,80,32,16,32,yes,local/buttons/back
14,7279,4,,,128,32,64,32,yes,local/captions/places/place000
15,7279,4,,,128,32,64,32,yes,local/captions/places/place001
16,7279,4,,,128,32,64,32,yes,local/captions/places/place002
17,7279,4,,,128,32,64,32,yes,local/captions/places/place003
18,7279,4,,,128,32,64,32,yes,local/captions/places/place004
19,7279,4,,,128,32,64,32,yes,local/captions/places/place005
20,7279,4,,,128,32,64,32,yes,local/captions/places/place006
21,7279,4,,,128,32,64,32,yes,local/captions/places/place007
22,7279,4,,,128,32,64,32,yes,local/captions/places/place008
23,7279,4,,,128,32,64,32,yes,local/captions/places/place009
24,7279,4,,,128,32,64,32,yes,local/captions/places/place010
25,7279,4,,,128,32,64,32,yes,local/captions/places/place011
26,7279,4,,,128,32,64,32,yes,local/captions/places/place012
27,7279,4,,,128,32,64,32,yes,local/captions/places/place013
28,7279,4,,,128,32,64,32,yes,local/captions/places/place014
29,7279,4,,,128,32,64,32,yes,local/captions/places/place015
30,7279,4,,,128,32,64,32,yes,local/captions/places/place016
31,7279,4,,,128,32,64,32,yes,local/captions/places/place017
32,7279,4,,,128,32,64,32,yes,local/captions/places/place018
33,7279,4,,,128,32,64,32,yes,local/captions/places/place019
34,7279,4,,,128,32,64,32,yes,local/captions/places/place020
35,7279,4,,,128,32,64,32,yes,local/captions/places/place021
36,7279,4,,,128,32,64,32,yes,local/captions/places/place022
37,7279,4,,,128,32,64,32,yes,local/captions/places/place023
38,7279,4,,,128,32,64,32,yes,local/captions/places/place024
39,7279,4,,,128,32,64,32,yes,local/captions/places/place025
40,7279,4,,,128,32,64,32,yes,local/captions/places/place026
41,7279,4,,,128,32,64,32,yes,local/captions/places/place027
42,7279,4,,,128,32,64,32,yes,local/captions/places/place028
43,7279,4,,,128,32,64,32,yes,local/captions/places/place029
44,7279,4,,,128,32,64,32,yes,local/captions/places/place030
45,7279,4,,,128,32,64,32,yes,local/captions/places/place031
46,7279,4,,,128,32,64,32,yes,local/captions/places/place032
47,7279,4,,,128,32,64,32,yes,local/captions/places/place033
48,7279,4,,,128,32,64,32,yes,local/captions/places/place034
49,7279,4,,,128,32,64,32,yes,local/captions/places/place035
50,7279,4,,,128,32,64,32,yes,local/captions/places/place036
51,7279,4,,,128,32,64,32,yes,local/captions/places/place037
52,7279,4,,,128,32,64,32,yes,local/captions/places/place038
53,7279,4,,,128,32,64,32,yes,local/captions/places/place039
54,7279,4,,,128,32,64,32,yes,local/captions/places/place040
55,7279,4,,,128,32,64,32,yes,local/captions/places/place041
56,7279,4,,,128,32,64,32,yes,local/captions/places/place042
57,7279,4,,,128,32,64,32,yes,local/captions/places/place043
58,7279,4,,,128,32,64,32,yes,local/captions/places/place044
59,7279,4,,,128,32,64,32,yes,local/captions/places/place045
60,7279,4,,,128,32,64,32,yes,local/captions/places/place046
61,7279,4,,,128,32,64,32,yes,local/captions/places/place047
62,7279,4,,,128,32,64,32,yes,local/captions/places/place048
63,7279,4,,,128,32,64,32,yes,local/captions/places/place049
64,7279,4,,,128,32,64,32,yes,local/captions/places/place050
65,7279,4,,,128,32,64,32,yes,local/captions/places/place051
66,7279,4,,,128,32,64,32,yes,local/captions/places/place052
67,7279,4,,,128,32,64,32,yes,local/captions/places/place053
68,7279,4,,,128,32,64,32,yes,local/captions/places/place054
69,7279,4,,,128,32,64,32,yes,local/captions/places/place055
70,7279,4,,,128,32,64,32,yes,local/captions/places/place056
71,7279,4,,,128,32,64,32,yes,local/captions/places/place057
72,7279,4,,,128,32,64,32,yes,local/captions/places/place058
73,7279,4,,,128,32,64,32,yes,local/captions/places/place059
74,7279,4,,,128,32,64,32,yes,local/captions/places/place060
75,7279,4,,,128,32,64,32,yes,local/captions/places/place061
76,7279,4,,,128,32,64,32,yes,local/captions/places/place062
77,7279,4,,,128,32,64,32,yes,local/captions/places/place063
78,7279,4,,,128,32,64,32,yes,local/captions/places/place064
79,7279,4,,,128,32,64,32,yes,local/captions/places/place065
80,7279,4,,,128,32,64,32,yes,local/captions/places/place066
81,7279,4,,,128,32,64,32,yes,local/captions/places/place067
82,7279,4,,,128,32,64,32,yes,local/captions/places/place068
